action_id,gm_id,point,poss,thr_id,rec_id,num_passes,dist_from_ez,dist_from_middle,dist_from_mid_ez,from_pull,o_pt,upwind,downwind,wind_speed,opp_rank,opp_rtg,decayed_rtg,bracket,consolation,other,postseason,tct,downwind_dist,upwind_dist,scored_on_poss,scored_on_pt,player_1,player_2,player_3,player_4,player_5,player_6,player_7,player_8,player_9,player_10,player_11,player_13,player_14,player_16,player_17,player_18,player_19,player_20,player_21,player_22,player_23,player_24,player_25,player_26,player_27,player_28,player_29,player_30,player_31,player_32,player_35
17,1,2,1,20.0,1.0,0,46.64062899999999,14.538461599999998,48.85401865978186,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,1,2,1,1.0,28.0,1,51.24999749999999,3.6153840000000015,51.37736121306214,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,1,2,1,28.0,23.0,2,36.484373,14.538462,39.27437269427193,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,1,2,1,23.0,28.0,3,18.2812507,15.538461200000002,23.99266353742652,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,1,2,1,28.0,26.0,4,27.812501000000005,3.692308,28.056520636776497,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,1,2,1,26.0,9.0,5,14.296875800000002,13.615384000000002,19.742830068358533,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,1,2,1,9.0,26.0,6,5.312500400000001,15.692308,16.56717208418094,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,1,3,1,14.0,2.0,0,71.17187750000001,11.538462799999998,72.10112530787569,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1,3,1,2.0,5.0,1,53.43749600000001,11.692307999999995,54.70170056878379,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1,3,1,5.0,1.0,2,36.5625016,12.999999999999998,38.80485180038706,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1,3,1,1.0,23.0,3,25.234376000000005,14.923076000000002,29.316751685873257,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1,3,2,1.0,14.0,0,71.17187750000001,19.076922,73.68422558369662,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1,3,2,14.0,23.0,1,58.0468766,20.0,61.39576437357571,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1,3,3,14.0,1.0,0,5.8593753,11.923075999999998,13.28502992875914,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1,3,3,1.0,2.0,1,13.0468743,0.3846159999999998,13.052542222397005,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1,3,3,2.0,8.0,2,8.906251000000001,12.692308,15.505353567134964,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1,4,1,35.0,4.0,0,70.234375,10.153846,70.96455467507946,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
36,1,4,1,4.0,25.0,1,52.7343716,11.3846152,53.9492670135467,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
37,1,4,1,25.0,27.0,2,39.4531234,11.2307692,41.02047199678833,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
38,1,4,2,35.0,4.0,0,69.76562100000001,20.0,72.57576643422819,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
40,1,4,3,21.0,27.0,0,69.84375399999999,19.6153846,72.54593914078467,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
41,1,4,3,27.0,21.0,1,0.2343745999999988,4.0769231999999995,4.083654519156021,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
42,1,6,1,31.0,35.0,0,67.42187299999999,0.7692319999999997,67.42626103157397,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
43,1,6,1,35.0,27.0,1,59.3750034,3.6153840000000015,59.484973146312065,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
44,1,6,1,27.0,29.0,2,49.14062100000001,5.076923999999998,49.40218405665298,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
45,1,6,1,29.0,4.0,3,36.953127,13.307692000000005,39.27630661664858,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
46,1,6,1,4.0,31.0,4,19.9218743,14.0,24.349149381959947,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
47,1,6,1,31.0,25.0,5,31.9531243,5.307693599999999,32.39095188293687,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
48,1,6,1,25.0,31.0,6,29.1406267,12.2307692,31.603288431624033,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
49,1,6,1,31.0,25.0,7,37.7343734,8.0,38.573085641294334,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
50,1,6,1,25.0,4.0,8,34.140625,0.7692312000000001,34.14928977342982,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
51,1,6,1,4.0,27.0,9,21.015623000000005,11.0,23.720379636045653,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
52,1,6,1,27.0,29.0,10,13.593749199999998,7.000000000000002,15.29019350147344,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
53,1,6,1,29.0,21.0,11,3.7500009999999975,12.307692,12.866304437050486,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
54,1,6,2,35.0,27.0,0,0.5,10.846154000000002,10.857672706050597,0,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
55,1,8,1,14.0,21.0,0,74.3750016,7.923076,74.79582873597818,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
56,1,8,1,21.0,31.0,1,65.3906284,1.0000000000000009,65.39827430863055,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
57,1,8,1,31.0,14.0,2,55.00000200000001,14.846154,56.968486978255974,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
58,1,8,1,14.0,31.0,3,64.60937100000001,10.692308,65.4881384021756,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
59,1,8,1,31.0,25.0,4,63.12499799999999,1.3846160000000007,63.14018161177127,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
60,1,8,1,25.0,21.0,5,49.53124749999999,12.999999999999998,51.208832040051995,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
61,1,8,1,21.0,31.0,6,35.156248399999996,10.538461200000002,36.70178423491708,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
62,1,9,1,35.0,21.0,0,71.32812700000001,3.769231999999998,71.42764738669442,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
63,1,9,1,21.0,27.0,1,60.54687299999999,2.3846148,60.59381336260746,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
64,1,9,1,27.0,35.0,2,51.95312299999999,4.230768,52.12510323560954,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
65,1,9,1,35.0,27.0,3,48.67187249999999,8.461538399999998,49.4019109422999,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
66,1,9,1,27.0,25.0,4,35.390621,16.6923076,39.12964589385725,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
67,1,9,1,25.0,27.0,5,36.8749984,7.7692320000000015,37.68456544621188,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
68,1,9,1,27.0,31.0,6,21.015623000000005,9.1538452,22.922680733799268,1,1,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
