action_id,gm_id,point,poss,thr_id,rec_id,num_passes,dist_from_ez,dist_from_middle,dist_from_mid_ez,from_pull,o_pt,upwind,downwind,wind_speed,opp_rank,opp_rtg,decayed_rtg,bracket,consolation,other,postseason,tct,scored_on_poss,scored_on_pt,player_1,player_2,player_3,player_4,player_5,player_6,player_7,player_8,player_9,player_10,player_11,player_13,player_14,player_16,player_17,player_18,player_19,player_20,player_21,player_22,player_23,player_24,player_25,player_26,player_27,player_28,player_29,player_30,player_31,player_32,player_35
26,1,3,1,5,1,2,36.5625016,13,38.8048518,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
27,1,3,1,1,23,3,25.234376,14.923076,29.31675169,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
29,1,3,2,1,14,0,71.1718775,19.076922,73.68422558,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
30,1,3,2,14,23,1,58.0468766,20,61.39576437,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
32,1,3,3,14,1,0,5.8593753,11.923076,13.28502993,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
33,1,3,3,1,2,1,13.0468743,0.384616,13.05254222,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
34,1,3,3,2,8,2,8.906251,12.692308,15.50535357,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
35,1,4,1,35,4,0,70.234375,10.153846,70.96455468,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
36,1,4,1,4,25,1,52.7343716,11.3846152,53.94926701,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
37,1,4,1,25,27,2,39.4531234,11.2307692,41.020472,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
38,1,4,2,35,4,0,69.765621,20,72.57576643,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
40,1,4,3,21,27,0,69.843754,19.6153846,72.54593914,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
41,1,4,3,27,21,1,0.2343746,4.0769232,4.083654519,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
42,1,6,1,31,35,0,67.421873,0.769232,67.42626103,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
43,1,6,1,35,27,1,59.3750034,3.615384,59.48497315,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
44,1,6,1,27,29,2,49.140621,5.076924,49.40218406,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
45,1,6,1,29,4,3,36.953127,13.307692,39.27630662,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
46,1,6,1,4,31,4,19.9218743,14,24.34914938,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
47,1,6,1,31,25,5,31.9531243,5.3076936,32.39095188,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
48,1,6,1,25,31,6,29.1406267,12.2307692,31.60328843,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
49,1,6,1,31,25,7,37.7343734,8,38.57308564,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
50,1,6,1,25,4,8,34.140625,0.7692312,34.14928977,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
51,1,6,1,4,27,9,21.015623,11,23.72037964,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
52,1,6,1,27,29,10,13.5937492,7,15.2901935,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
53,1,6,1,29,21,11,3.750001,12.307692,12.86630444,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
54,1,6,2,35,27,0,0.5,10.846154,10.85767271,0,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
55,1,8,1,14,21,0,74.3750016,7.923076,74.79582874,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
56,1,8,1,21,31,1,65.3906284,1,65.39827431,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
57,1,8,1,31,14,2,55.000002,14.846154,56.96848698,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
58,1,8,1,14,31,3,64.609371,10.692308,65.4881384,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
59,1,8,1,31,25,4,63.124998,1.384616,63.14018161,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
60,1,8,1,25,21,5,49.5312475,13,51.20883204,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
61,1,8,1,21,31,6,35.1562484,10.5384612,36.70178423,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
62,1,9,1,35,21,0,71.328127,3.769232,71.42764739,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
63,1,9,1,21,27,1,60.546873,2.3846148,60.59381336,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
64,1,9,1,27,35,2,51.953123,4.230768,52.12510324,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
65,1,9,1,35,27,3,48.6718725,8.4615384,49.40191094,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
66,1,9,1,27,25,4,35.390621,16.6923076,39.12964589,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
67,1,9,1,25,27,5,36.8749984,7.769232,37.68456545,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
68,1,9,1,27,31,6,21.015623,9.1538452,22.92268073,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
69,1,9,1,31,27,7,9.1406258,16.0769224,18.49374148,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
70,1,9,1,27,31,8,25.9374993,18.4615372,31.83680615,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
71,1,9,1,31,35,9,25.9374993,7.846154,27.09826567,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
72,1,9,1,35,21,10,16.718748,13.4615384,21.46461159,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
